'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
Other,Server,Hardware,'FedEx Services',evening,Other,True,0.5,True,'Marconius Donahue',0.25,ITCC,1
Other,Other,Environment,'FedEx Services',evening,Other,True,0.5,True,'Marconius Donahue',0.25,ITCC,1
Other,Database,Hardware,'FedEx Ground',afternoon,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Server,Hardware,'FedEx Services',morning,Other,True,0.5,True,'David Light',0.25,ITCC,1
Other,Printer,Hardware,'FedEx Freight Inc.',morning,ID847287,True,0.5,True,'Logan Simmons',0.5,ITCC,2
Other,Other,Application,'FedEx Services',afternoon,Other,True,1,True,'Marconius Donahue',1,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',morning,Other,True,1,True,'Sandrina Khongjee',1,ITCC,3
Other,Mainframe,Application,'FedEx Services',afternoon,Other,True,1,True,'Brad Moore',1,ITCC,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',afternoon,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,1,True,'Brad Moore',0.75,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,Other,True,0.5,True,'Brad Moore',0.5,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,'Communication Device',Hardware,'FedEx Express',night,Other,True,1,False,Other,1,ITCC,3
Other,Scanner,Hardware,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,Database,Application,'FedEx Services',afternoon,ID5305519,True,1,False,'Ashish Bisht',1,ITCC,3
Other,Database,Application,'FedEx Ground',morning,Other,True,1,False,'Stephen Wolff',1,Standard,3
Other,Database,Application,'FedEx Ground',morning,Other,True,1,False,'Stephen Wolff',1,Standard,3
Other,Network,Hardware,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',0.75,ITCC,2
Other,'Communication Device',Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID836059,True,0.5,True,'Khouri Mitchell',0.5,ITCC,2
Other,Network,Application,'FedEx Services',afternoon,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Computer,Application,'FedEx Services',afternoon,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
FXS_SDESK_GLB_ProblemMgmt,Server,Application,'FedEx Services',evening,ID3667964,True,1,False,'DZundra Green',1,Standard,3
FXS_SDESK_GLB_ProblemMgmt,Computer,Application,'FedEx Services',evening,ID3667964,True,1,False,'DZundra Green',1,Standard,3
Other,Network,Application,'FedEx Services',morning,Other,True,0.5,True,'Brad Moore',0.25,ITCC,1
Other,Database,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,Database,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',morning,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,1,True,'Sean Green',1,Other,3
Other,Computer,Application,'FedEx Services',evening,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,'Communication Device',Hardware,'FedEx Services',afternoon,Other,True,1,True,'Sean Green',1,ITCC,3
